順位,投手名,チーム,カテゴリ,防御率,登板,勝利,敗北,セーブ,ホール,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点
1,菅野　智之,(巨),総合,2.14,28,15,8,0,0,0,10,8,4,0.652,801,202,166,14,37,1,3,200,3,0,52,48
2,東　克樹,(デ),総合,2.45,24,11,5,0,0,0,1,1,0,0.688,626,154,130,13,42,2,2,155,1,0,45,42
3,大瀬良　大地,(広),総合,2.62,27,15,7,0,0,0,2,0,1,0.682,727,182,143,22,41,2,4,159,4,0,65,53
4,ガルシア,(中),総合,2.99,27,13,9,0,0,0,2,2,0,0.591,711,168.2,144,13,73,0,6,132,2,1,60,56
5,ジョンソン,(広),総合,3.11,24,11,5,0,0,0,0,0,0,0.688,609,144.2,137,9,48,4,5,113,3,0,55,50
6,メッセンジャー,(神),総合,3.63,28,11,7,0,0,0,0,0,0,0.611,728,173.2,160,13,58,2,4,149,0,0,74,70
7,山口　俊,(巨),総合,3.68,30,9,9,1,1,2,6,2,0,0.5,644,154,127,18,60,1,9,144,4,0,66,63
8,ブキャナン,(ヤ),総合,4.03,28,10,11,0,0,0,2,1,1,0.476,751,174.1,186,17,53,4,10,95,3,0,85,78
